route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
62_1,FULLW,62_1_PM_15,,,,shape_2524
62_1,FULLW,62_1_PM_16,,,,shape_2525
62_1,FULLW,62_1_PM_17,,,,shape_2526
62_1,FULLW,62_1_PM_18,,,,shape_2527
62_1,FULLW,62_1_PM_19,,,,shape_2528
62_1,FULLW,62_1_PM_20,,,,shape_2529
62_1,FULLW,62_1_PM_21,,,,shape_2530
62_2,FULLW,62_2_PM_1,,,,shape_2531
62_2,FULLW,62_2_PM_2,,,,shape_2532
62_2,FULLW,62_2_PM_3,,,,shape_2533
62_2,FULLW,62_2_PM_4,,,,shape_2534
62_2,FULLW,62_2_PM_5,,,,shape_2535
62_2,FULLW,62_2_PM_6,,,,shape_2536
62_2,FULLW,62_2_PM_7,,,,shape_2537
62_2,FULLW,62_2_PM_8,,,,shape_2538
62_2,FULLW,62_2_PM_9,,,,shape_2539
62_2,FULLW,62_2_PM_10,,,,shape_2540
62_2,FULLW,62_2_PM_11,,,,shape_2541
62_2,FULLW,62_2_PM_12,,,,shape_2542
62_2,FULLW,62_2_PM_13,,,,shape_2543
62_2,FULLW,62_2_PM_14,,,,shape_2544
62_2,FULLW,62_2_PM_15,,,,shape_2545
62_2,FULLW,62_2_PM_16,,,,shape_2546
62_2,FULLW,62_2_PM_17,,,,shape_2547
62_2,FULLW,62_2_PM_18,,,,shape_2548
62_2,FULLW,62_2_PM_19,,,,shape_2549
62_2,FULLW,62_2_PM_20,,,,shape_2550
62_2,FULLW,62_2_PM_21,,,,shape_2551
63_1,FULLW,63_1_PM_1,,,,shape_2552
63_1,FULLW,63_1_PM_2,,,,shape_2553
63_1,FULLW,63_1_PM_3,,,,shape_2554
63_1,FULLW,63_1_PM_4,,,,shape_2555
63_1,FULLW,63_1_PM_5,,,,shape_2556
63_1,FULLW,63_1_PM_6,,,,shape_2557
63_1,FULLW,63_1_PM_7,,,,shape_2558
63_1,FULLW,63_1_PM_8,,,,shape_2559
63_1,FULLW,63_1_PM_9,,,,shape_2560
63_1,FULLW,63_1_PM_10,,,,shape_2561
63_1,FULLW,63_1_PM_11,,,,shape_2562
63_1,FULLW,63_1_PM_12,,,,shape_2563
63_1,FULLW,63_1_PM_13,,,,shape_2564
63_1,FULLW,63_1_PM_14,,,,shape_2565
63_2,FULLW,63_2_PM_1,,,,shape_2566
63_2,FULLW,63_2_PM_2,,,,shape_2567
